systemNumber,accessionNumber,objectType,_currentLocation,_primaryTitle,_primaryMaker,_primaryImageId,_primaryDate,_primaryPlace,_warningTypes,_images
O1037339,CIRC.186-1961,Print,"{'id': 'THES388269', 'displayName': 'Imagine Gallery, This is Me, West wall', 'type': 'display', 'site': 'YVA', 'onDisplay': True, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",Self-Portrait,"{'name': 'Cezanne, Paul', 'association': 'artist'}",2011EV6865,,,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2011EV6865/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2011EV6865/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1037339/manifest.json', 'imageResolution': 'high'}"
O551055,E.60-1980,Print,"{'id': 'THES49658', 'displayName': 'Prints & Drawings Study Room, level D', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'DR', 'shelf': '135', 'box': ''}}",Mont Ste. Victoire,"{'name': 'Cezanne, Paul', 'association': 'artist'}",,1949-63,Britain,[],{}
O1039126,CIRC.39-1949,Print,"{'id': 'THES49657', 'displayName': 'Prints & Drawings Study Room, level E', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'MP', 'shelf': '108', 'box': ''}}",Self-Portrait,"{'name': 'Cezanne, Paul', 'association': 'artist'}",2011EV6889,1898,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2011EV6889/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2011EV6889/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1039126/manifest.json', 'imageResolution': 'high'}"
O551056,E.59-1980,Print,"{'id': 'THES49658', 'displayName': 'Prints & Drawings Study Room, level D', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'DR', 'shelf': '135', 'box': ''}}","Still life with chair, apples and bottle","{'name': 'Cezanne, Paul', 'association': 'artist'}",,1949-63,Britain,[],{}
O1036733,CIRC.247-1959,print,"{'id': 'THES49657', 'displayName': 'Prints & Drawings Study Room, level E', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'MP', 'shelf': '10', 'box': ''}}",Head of a Woman,"{'name': 'Cezanne, Paul', 'association': 'artist'}",2011EU2072,1873,,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2011EU2072/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2011EU2072/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1036733/manifest.json', 'imageResolution': 'high'}"
O1038709,CIRC.81-1949,Print,"{'id': 'THES49657', 'displayName': 'Prints & Drawings Study Room, level E', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'MP', 'shelf': '108', 'box': ''}}",Les Baigneurs,"{'name': 'Cezanne, Paul', 'association': 'artist'}",2011EV6922,1897,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2011EV6922/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2011EV6922/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1038709/manifest.json', 'imageResolution': 'high'}"
O1036744,CIRC.246-1959,print,"{'id': 'THES49657', 'displayName': 'Prints & Drawings Study Room, level E', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'MP', 'shelf': '10', 'box': ''}}",Guillaumin au pendu,"{'name': 'Cezanne, Paul', 'association': 'artist'}",2011EU2070,1873,,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2011EU2070/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2011EU2070/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1036744/manifest.json', 'imageResolution': 'high'}"
O1036098,CIRC.322-1955,Print,"{'id': 'THES49657', 'displayName': 'Prints & Drawings Study Room, level E', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'MP', 'shelf': '10', 'box': ''}}",Maison De L'Artiste,"{'name': 'Cezanne, Paul', 'association': 'artist'}",2011EU2085,late 19th century,France,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2011EU2085/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2011EU2085/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1036098/manifest.json', 'imageResolution': 'high'}"
O125605,P.6-1966,Watercolour,"{'id': 'THES250499', 'displayName': 'In Store', 'type': 'storage', 'site': 'VA', 'onDisplay': False, 'detail': {'free': '', 'case': '', 'shelf': '', 'box': ''}}",Study of Trees (Sous Bois),"{'name': 'Cezanne, Paul', 'association': 'artist'}",2011FA9927,1888-1890,France,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2011FA9927/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2011FA9927/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O125605/manifest.json', 'imageResolution': 'high'}"
O1037415,CIRC.180-1949,Print,"{'id': 'THES49657', 'displayName': 'Prints & Drawings Study Room, level E', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'MP', 'shelf': '108', 'box': ''}}",Les Baigneuses,"{'name': 'Cezanne, Paul', 'association': 'artist'}",2011EV6862,1898,Paris,[],"{'_primary_thumbnail': 'https://framemark.vam.ac.uk/collections/2011EV6862/full/!100,100/0/default.jpg', '_iiif_image_base_url': 'https://framemark.vam.ac.uk/collections/2011EV6862/', '_iiif_presentation_url': 'https://iiif.vam.ac.uk/collections/O1037415/manifest.json', 'imageResolution': 'high'}"
O1438985,RPS.2029-2018,Journal,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'XRP', 'shelf': '902', 'box': ''}}",,"{'name': 'Alfred Stieglitz', 'association': 'publisher'}",,June 1913,New York,[],{}
O1438928,RPS.1982-2018,Journal,"{'id': 'THES49656', 'displayName': 'Prints & Drawings Study Room, level F', 'type': 'display', 'site': 'VA', 'onDisplay': True, 'detail': {'free': '', 'case': 'XRP', 'shelf': '888', 'box': ''}}",,"{'name': 'Alfred Stieglitz', 'association': 'publisher'}",,June 1913,New York,[],{}
